"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-25-093651 (IC Act)  Size: 946 KB","2025-04-24","","https://www.sec.gov/Archives/edgar/data/792326/000119312525093651/0001193125-25-093651-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-25-079181 (IC Act)  Size: 862 KB","2025-04-11","","https://www.sec.gov/Archives/edgar/data/792326/000119312525079181/0001193125-25-079181-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-25-054849 (IC Act)  Size: 693 KB","2025-03-14","","https://www.sec.gov/Archives/edgar/data/792326/000119312525054849/0001193125-25-054849-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-22-145949 (40 Act)  Size: 1 MB","2022-05-10","","https://www.sec.gov/Archives/edgar/data/792326/000119312522145949/0001193125-22-145949-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-22-134795 (40 Act)  Size: 1 MB","2022-05-02","","https://www.sec.gov/Archives/edgar/data/792326/000119312522134795/0001193125-22-134795-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-22-097841 (40 Act)  Size: 1 MB","2022-04-07","","https://www.sec.gov/Archives/edgar/data/792326/000119312522097841/0001193125-22-097841-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-21-216739 (40 Act)  Size: 1 MB","2021-07-16","","https://www.sec.gov/Archives/edgar/data/792326/000119312521216739/0001193125-21-216739-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-21-050790 (40 Act)  Size: 1 MB","2021-02-22","","https://www.sec.gov/Archives/edgar/data/792326/000119312521050790/0001193125-21-050790-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-20-170392 (40 Act)  Size: 995 KB","2020-06-16","","https://www.sec.gov/Archives/edgar/data/792326/000119312520170392/0001193125-20-170392-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-17-311825 (40 Act)  Size: 117 KB","2017-10-17","","https://www.sec.gov/Archives/edgar/data/792326/000119312517311825/0001193125-17-311825-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-17-311820 (40 Act)  Size: 158 KB","2017-10-17","","https://www.sec.gov/Archives/edgar/data/792326/000119312517311820/0001193125-17-311820-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-17-220314 (40 Act)  Size: 104 KB","2017-07-03","","https://www.sec.gov/Archives/edgar/data/792326/000119312517220314/0001193125-17-220314-index.htm"
"0000792326","BLACKSTONE SECURITIES PARTNERS L.P.CIK#:0000792326 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-17-220311 (40 Act)  Size: 141 KB","2017-07-03","","https://www.sec.gov/Archives/edgar/data/792326/000119312517220311/0001193125-17-220311-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0001019677-15-000001 (34 Act)  Size: 7 KB","2015-04-08","","https://www.sec.gov/Archives/edgar/data/1019677/000101967715000001/0001019677-15-000001-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0001019677-13-000004 (34 Act)  Size: 7 KB","2013-11-26","","https://www.sec.gov/Archives/edgar/data/1019677/000101967713000004/0001019677-13-000004-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-13-016082 (40 Act)  Size: 133 KB","2013-01-17","","https://www.sec.gov/Archives/edgar/data/1019677/000119312513016082/0001193125-13-016082-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","40-APP/A","Documents","[Amend] Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-12-397034 (40 Act)  Size: 154 KB","2012-09-19","","https://www.sec.gov/Archives/edgar/data/1019677/000119312512397034/0001193125-12-397034-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-12-389140 (40 Act)  Size: 138 KB","2012-09-12","","https://www.sec.gov/Archives/edgar/data/1019677/000119312512389140/0001193125-12-389140-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-12-370816 (40 Act)  Size: 153 KB","2012-08-28","","https://www.sec.gov/Archives/edgar/data/1019677/000119312512370816/0001193125-12-370816-index.htm"
"0001019677","BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADVCIK#:0001019677 (see all company filings)","","","","","","","","","","40-APP","Documents","Application for exemption and other relief filed under the Investment Company Act of 1940 Acc-no: 0001193125-12-162500 (40 Act)  Size: 150 KB","2012-04-13","","https://www.sec.gov/Archives/edgar/data/1019677/000119312512162500/0001193125-12-162500-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b and 4a5 Acc-no: 0001031020-17-000004 (33 Act)  Size: 9 KB","2017-04-18","","https://www.sec.gov/Archives/edgar/data/1031020/000103102017000004/0001031020-17-000004-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b and 4a5 Acc-no: 0001031020-17-000003 (33 Act)  Size: 9 KB","2017-03-14","","https://www.sec.gov/Archives/edgar/data/1031020/000103102017000003/0001031020-17-000003-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b and 4a5 Acc-no: 0001031020-17-000002 (33 Act)  Size: 9 KB","2017-02-16","","https://www.sec.gov/Archives/edgar/data/1031020/000103102017000002/0001031020-17-000002-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06b Acc-no: 0001031020-16-000005 (33 Act)  Size: 9 KB","2016-04-12","","https://www.sec.gov/Archives/edgar/data/1031020/000103102016000005/0001031020-16-000005-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06b Acc-no: 0001031020-16-000003 (33 Act)  Size: 11 KB","2016-01-06","","https://www.sec.gov/Archives/edgar/data/1031020/000103102016000003/0001031020-16-000003-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-17-001372 (33 Act)  Size: 7 KB","2017-03-03","","https://www.sec.gov/Archives/edgar/data/1038085/000090266417001372/0000902664-17-001372-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-16-006203 (33 Act)  Size: 7 KB","2016-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000090266416006203/0000902664-16-006203-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-15-001508 (33 Act)  Size: 7 KB","2015-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000090266415001508/0000902664-15-001508-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-14-001516 (33 Act)  Size: 6 KB","2014-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000090266414001516/0000902664-14-001516-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06 and 3C.7 Acc-no: 0001140361-13-010177 (33 Act)  Size: 6 KB","2013-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000114036113010177/0001140361-13-010177-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06 and 3C.7 Acc-no: 0001140361-12-012497 (33 Act)  Size: 6 KB","2012-03-02","","https://www.sec.gov/Archives/edgar/data/1038085/000114036112012497/0001140361-12-012497-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06 and 3C.7 Acc-no: 0001140361-11-014105 (33 Act)  Size: 6 KB","2011-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000114036111014105/0001140361-11-014105-index.htm"
"0001038085","Blackstone Event Driven Fund L.P.CIK#:0001038085 (see all company filings)","","","","","","","","","","D/A","Documents","[Amend] Notice of Exempt Offering of Securities, items 06, 3C, and 3C.7 Acc-no: 0000902664-10-001348 (33 Act)  Size: 6 KB","2010-03-04","","https://www.sec.gov/Archives/edgar/data/1038085/000090266410001348/0000902664-10-001348-index.htm"
"0001042890","BLACKSTONE CAPITAL PARTNERS III MERCHANT BANKING FUND LPCIK#:0001042890 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0001181431-11-048721 (34 Act)  Size: 14 KB","2011-09-09","","https://www.sec.gov/Archives/edgar/data/1042890/000118143111048721/0001181431-11-048721-index.htm"
"0001042890","BLACKSTONE CAPITAL PARTNERS III MERCHANT BANKING FUND LPCIK#:0001042890 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0000893750-05-000256 (34 Act)  Size: 9 KB","2005-05-04","","https://www.sec.gov/Archives/edgar/data/1042890/000089375005000256/0000893750-05-000256-index.htm"
"0001042890","BLACKSTONE CAPITAL PARTNERS III MERCHANT BANKING FUND LPCIK#:0001042890 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0000893750-03-000686 Size: 27 KB","2003-12-22","","https://www.sec.gov/Archives/edgar/data/1042890/000089375003000686/0000893750-03-000686-index.htm"
"0001061630","BLACKSTONE MORTGAGE TRUST, INC.CIK#:0001061630 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0001061630-25-000091 Size: 5 KB","2025-07-16","","https://www.sec.gov/Archives/edgar/data/1061630/000106163025000091/0001061630-25-000091-index.htm"
"0001061630","BLACKSTONE MORTGAGE TRUST, INC.CIK#:0001061630 (see all company filings)","","","","","","","","","","4","Documents","Statement of changes in beneficial ownership of securities Acc-no: 0001061630-25-000090 Size: 5 KB","2025-07-16","","https://www.sec.gov/Archives/edgar/data/1061630/000106163025000090/0001061630-25-000090-index.htm"
