"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b and 4a5 Acc-no: 0001031020-17-000002 (33 Act)  Size: 9 KB","2017-02-16","","https://www.sec.gov/Archives/edgar/data/1031020/000103102017000002/0001031020-17-000002-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06b Acc-no: 0001031020-16-000005 (33 Act)  Size: 9 KB","2016-04-12","","https://www.sec.gov/Archives/edgar/data/1031020/000103102016000005/0001031020-16-000005-index.htm"
"0001031020","Lattice Biologics Ltd.CIK#:0001031020 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06b Acc-no: 0001031020-16-000003 (33 Act)  Size: 11 KB","2016-01-06","","https://www.sec.gov/Archives/edgar/data/1031020/000103102016000003/0001031020-16-000003-index.htm"
"0001312402","CALECO PHARMA CORP.CIK#:0001312402 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001284834-11-000052 (33 Act)  Size: 11 KB","2011-06-21","","https://www.sec.gov/Archives/edgar/data/1312402/000128483411000052/0001284834-11-000052-index.htm"
"0001312402","CALECO PHARMA CORP.CIK#:0001312402 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001284834-11-000051 (33 Act)  Size: 11 KB","2011-06-21","","https://www.sec.gov/Archives/edgar/data/1312402/000128483411000051/0001284834-11-000051-index.htm"
"0001312402","CALECO PHARMA CORP.CIK#:0001312402 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001284834-10-000015 (33 Act)  Size: 10 KB","2010-03-01","","https://www.sec.gov/Archives/edgar/data/1312402/000128483410000015/0001284834-10-000015-index.htm"
"0001312402","CALECO PHARMA CORP.CIK#:0001312402 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001284834-09-000116 (33 Act)  Size: 10 KB","2009-10-16","","https://www.sec.gov/Archives/edgar/data/1312402/000128483409000116/0001284834-09-000116-index.htm"
"0001312402","CALECO PHARMA CORP.CIK#:0001312402 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001284834-09-000115 (33 Act)  Size: 10 KB","2009-10-16","","https://www.sec.gov/Archives/edgar/data/1312402/000128483409000115/0001284834-09-000115-index.htm"
"0001386856","BLACKSTONE VALLEY SURGICARE ACQUISITION L PCIK#:0001386856 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001386856-09-000004 (33 Act)  Size: 12 KB","2009-06-26","","https://www.sec.gov/Archives/edgar/data/1386856/000138685609000004/0001386856-09-000004-index.htm"
"0001386856","BLACKSTONE VALLEY SURGICARE ACQUISITION L PCIK#:0001386856 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001386856-09-000003 (33 Act)  Size: 13 KB","2009-04-07","","https://www.sec.gov/Archives/edgar/data/1386856/000138685609000003/0001386856-09-000003-index.htm"
"0001444625","BLACKSTONE OIL & GAS INCCIK#:0001444625 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06b Acc-no: 0001213900-13-007457 (33 Act)  Size: 8 KB","2013-12-30","","https://www.sec.gov/Archives/edgar/data/1444625/000121390013007457/0001213900-13-007457-index.htm"
"0001458842","Blackstone Credit Opportunities Offshore Fund I Ltd.CIK#:0001458842 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06, 3C, and 3C.7 Acc-no: 0000902664-10-001394 (33 Act)  Size: 7 KB","2010-03-04","","https://www.sec.gov/Archives/edgar/data/1458842/000090266410001394/0000902664-10-001394-index.htm"
"0001463385","Blackstone Real Estate CMBS Fund L.P.CIK#:0001463385 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001463385-09-000003 (33 Act)  Size: 16 KB","2009-05-14","","https://www.sec.gov/Archives/edgar/data/1463385/000146338509000003/0001463385-09-000003-index.htm"
"0001463391","Blackstone Real Estate CMBS Offshore Fund Ltd.CIK#:0001463391 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, item 06 Acc-no: 0001463391-09-000001 (33 Act)  Size: 8 KB","2009-05-14","","https://www.sec.gov/Archives/edgar/data/1463391/000146339109000001/0001463391-09-000001-index.htm"
