CIK,Issuer Name,Entity Type,Industry Group,Jurisdiction,Child Entity Name,Clarification,Source File
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,n/a Blackstone Tactical Opportunities Management Associates III (Cayman) - NQ L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,n/a BTOA III (Cayman) - NQ GP L.P.,"The General Partner of the GP  of the Issuer (the ""GP of the GP"").",https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,n/a BTO GP - NQ L.L.C.,The General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,David Blitzer,Chief Investment Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,Christopher James,Chief Operating Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,Christopher Striano,Chief Financial Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,John Finley,Chief Legal Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,Omar Rehman,Chief Compliance Officer and Secretary of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,n/a Blackstone PTI Associates L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,n/a BTO DE GP - NQ L.L.C.,"The General Partner of the GP of the Issuer (the ""GP of the GP"").",https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,David Blitzer,Chief Investment Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,Christopher James,Chief Operating Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,John Finley,Chief Legal Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,Christopher Striano,Chief Financial Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,Omar Rehman,Chief Compliance Officer and Secretary of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001464972,Blackstone / GSO Capital Solutions Fund LP,Limited Partnership,Pooled Investment Fund,DELAWARE,N/A Blackstone / GSO Capital Solutions Associates LLC,General Partner of the Issuer,https://www.sec.gov/Archives/edgar/data/1464972/000146497210000006/primary_doc.xml
0001464972,Blackstone / GSO Capital Solutions Fund LP,Limited Partnership,Pooled Investment Fund,DELAWARE,N/A GSO Capital Partners LP,Management Company,https://www.sec.gov/Archives/edgar/data/1464972/000146497210000006/primary_doc.xml
0001464972,Blackstone / GSO Capital Solutions Fund LP,Limited Partnership,Pooled Investment Fund,DELAWARE,George Fan,"Manager of the General Partner, however, not a Director of the General Partner",https://www.sec.gov/Archives/edgar/data/1464972/000146497210000006/primary_doc.xml
0001464972,Blackstone / GSO Capital Solutions Fund LP,Limited Partnership,Pooled Investment Fund,DELAWARE,Matthew Quigley,"Manager of the General Partner, however, not a Director of the General Partner",https://www.sec.gov/Archives/edgar/data/1464972/000146497210000006/primary_doc.xml
