_section,documentType,footnote,issuerCik,issuerName,issuerTradingSymbol,notSubjectToSection16,ownershipNature_ownershipNature_directOrIndirectOwnership_directOrIndirectOwnership_value,ownershipNature_ownershipNature_natureOfOwnership_natureOfOwnership_footnoteId,ownershipNature_ownershipNature_natureOfOwnership_natureOfOwnership_value,periodOfReport,postTransactionAmounts_postTransactionAmounts_sharesOwnedFollowingTransaction_sharesOwnedFollowingTransaction_value,remarks,reportingOwnerAddress_reportingOwnerAddress_rptOwnerCity,reportingOwnerAddress_reportingOwnerAddress_rptOwnerState,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStateDescription,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet1,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet2,reportingOwnerAddress_reportingOwnerAddress_rptOwnerZipCode,reportingOwnerId_reportingOwnerId_rptOwnerCik,reportingOwnerId_reportingOwnerId_rptOwnerName,reportingOwnerRelationship_reportingOwnerRelationship_isDirector,reportingOwnerRelationship_reportingOwnerRelationship_isOfficer,reportingOwnerRelationship_reportingOwnerRelationship_isOther,reportingOwnerRelationship_reportingOwnerRelationship_isTenPercentOwner,reportingOwnerRelationship_reportingOwnerRelationship_otherText,schemaVersion,securityTitle_securityTitle_value,signatureDate,signatureName,transactionAmounts_transactionAmounts_transactionAcquiredDisposedCode_transactionAcquiredDisposedCode_value,transactionAmounts_transactionAmounts_transactionPricePerShare_transactionPricePerShare_value,transactionAmounts_transactionAmounts_transactionShares_transactionShares_value,transactionCoding_transactionCoding_equitySwapInvolved,transactionCoding_transactionCoding_transactionCode,transactionCoding_transactionCoding_transactionFormType,transactionDate_transactionDate_value,transactionTimeliness_transactionTimeliness_value
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,X0306,,,,,,,,,,,
documentType,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periodOfReport,,,,,,,,,,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
notSubjectToSection16,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issuer,,,0001535091,Blackstone Alternative Alpha Fund,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportingOwner,,,,,,,,,,,,,,,,,,,0001019677,BLACKSTONE ALTERNATIVE ASSET MANAGEMENT LP              /ADV,0,0,1,0,Investment Adviser,,,,,,,,,,,,
nonDerivativeTable,,,,,,,D,,,,0,,,,,,,,,,,,,,,,Shares of beneficial interest,,,A,0,0,0,P,4,2013-06-30,
nonDerivativeTable,,,,,,,I,,See Footnotes,,0,,,,,,,,,,,,,,,,Shares of beneficial interest,,,A,0,0,0,P,4,2013-06-30,
footnotes,,Blackstone Holdings I-Sub (BAAM) GP L.L.C. is the general partner of Blackstone Alternative Asset Management L.P. Blackstone Intermediary Holdco LLC is the sole member of Blackstone Holdings I-Sub (BAAM) GP L.L.C. Blackstone Advisory Partners L.P. is the sole member of Blackstone Intermediary Holdco LLC. Blackstone Advisory Services L.L.C. is the general partner of Blackstone Advisory Partners L.P. Blackstone Holdings I L.P. is the sole member of Blackstone Advisory Services L.L.C. Blackstone Holdings I/II GP Inc. is the general partner of Blackstone Holdings I L.P. The Blackstone Group L.P. is the controlling shareholder of Blackstone Holdings I/II GP Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footnotes,,"Information with respect to each of the Reporting Persons is given solely by such Reporting Persons, and no Reporting Person has responsibility for the accuracy or completeness of information supplied by another Reporting Person.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remarks,,,,,,,,,,,,"Additional Reporting Owners: Blackstone Holdings I-Sub (BAAM) GP L.L.C. C/O The Blackstone Group, 345 Park Ave New York, NY 10154; Blackstone Intermediary Holdco LLC C/O The Blackstone Group, 345 Park Ave New York, NY 10154; Blackstone Advisory Partners L.P. C/O The Blackstone Group, 345 Park Ave New York, NY 10154; Blackstone Advisory Services L.L.C. C/O The Blackstone Group, 345 Park Ave New York, NY 10154; Blackstone Holdings I L.P. C/O The Blackstone Group, 345 Park Ave New York, NY 10154; Blackstone Holdings I/II GP Inc. C/O The Blackstone Group L.P., 345 Park Ave New York, NY 10154; The Blackstone Group L.P., 345 Park Ave New York, NY 10154.",,,,,,,,,,,,,,,,,,,,,,,,,
ownerSignature,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-26,"Peter Koffler, Chief Compliance Officer of Blackstone Alternative Asset Management L.P.",,,,,,,,
