_section,deemedExecutionDate_deemedExecutionDate_value,documentType,footnote,issuerCik,issuerName,issuerTradingSymbol,notSubjectToSection16,ownershipNature_ownershipNature_directOrIndirectOwnership_directOrIndirectOwnership_value,periodOfReport,postTransactionAmounts_postTransactionAmounts_sharesOwnedFollowingTransaction_sharesOwnedFollowingTransaction_value,reportingOwnerAddress_reportingOwnerAddress_rptOwnerCity,reportingOwnerAddress_reportingOwnerAddress_rptOwnerState,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStateDescription,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet1,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet2,reportingOwnerAddress_reportingOwnerAddress_rptOwnerZipCode,reportingOwnerId_reportingOwnerId_rptOwnerCik,reportingOwnerId_reportingOwnerId_rptOwnerName,reportingOwnerRelationship_reportingOwnerRelationship_isDirector,reportingOwnerRelationship_reportingOwnerRelationship_isOfficer,reportingOwnerRelationship_reportingOwnerRelationship_isOther,reportingOwnerRelationship_reportingOwnerRelationship_isTenPercentOwner,reportingOwnerRelationship_reportingOwnerRelationship_otherText,schemaVersion,securityTitle_securityTitle_value,signatureDate,signatureName,transactionAmounts_transactionAmounts_transactionAcquiredDisposedCode_transactionAcquiredDisposedCode_value,transactionAmounts_transactionAmounts_transactionPricePerShare_transactionPricePerShare_footnoteId,transactionAmounts_transactionAmounts_transactionShares_transactionShares_value,transactionCoding_transactionCoding_equitySwapInvolved,transactionCoding_transactionCoding_transactionCode,transactionCoding_transactionCoding_transactionFormType,transactionDate_transactionDate_value,transactionTimeliness_transactionTimeliness_value
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,X0303,,,,,,,,,,,
documentType,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periodOfReport,,,,,,,,,2008-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,
notSubjectToSection16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issuer,,,,0001312402,BLACKSTONE LAKE MINERALS INC.,BLLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportingOwner,,,,,,,,,,,WEGBERG,2M,GERMANY,FRIEDRICH-LIST-ALLEE 10,,41844,0001330467,INVENTA HOLDING GMBH,0,0,1,0,Former 10% Beneficial Owner,,,,,,,,,,,,
nonDerivativeTable,2008-03-31,,,,,,,D,,39000000,,,,,,,,,,,,,,,Common Stock,,,D,,33000000,0,J,4,2008-04-02,
nonDerivativeTable,2008-09-25,,,,,,,D,,0,,,,,,,,,,,,,,,Common Stock,,,D,,39000000,0,J,4,2008-09-29,
footnotes,,,"On April 2, 2008, the Reporting Person acquired Skyflyer Technology GmbH from the Issuer in exchange for surrendering 33,000,000 shares of the Issuer's common stock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footnotes,,,"On September 29, 2008, the Reporting Person transferred 39,000,000 shares of the Issuer's common stock to John Boschert for nominal consideration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerSignature,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-01,Dieter Wagels,,,,,,,,
