_section,derivativeHolding_derivativeHolding_conversionOrExercisePrice_conversionOrExercisePrice_value,derivativeHolding_derivativeHolding_exerciseDate_exerciseDate_value,derivativeHolding_derivativeHolding_expirationDate_expirationDate_value,derivativeHolding_derivativeHolding_ownershipNature_ownershipNature_directOrIndirectOwnership_directOrIndirectOwnership_value,derivativeHolding_derivativeHolding_postTransactionAmounts_postTransactionAmounts_sharesOwnedFollowingTransaction_sharesOwnedFollowingTransaction_value,derivativeHolding_derivativeHolding_securityTitle_securityTitle_footnoteId,derivativeHolding_derivativeHolding_securityTitle_securityTitle_value,derivativeHolding_derivativeHolding_underlyingSecurity_underlyingSecurity_underlyingSecurityShares_underlyingSecurityShares_value,derivativeHolding_derivativeHolding_underlyingSecurity_underlyingSecurity_underlyingSecurityTitle_underlyingSecurityTitle_value,derivativeTransaction_derivativeTransaction_conversionOrExercisePrice_conversionOrExercisePrice_value,derivativeTransaction_derivativeTransaction_exerciseDate_exerciseDate_footnoteId,derivativeTransaction_derivativeTransaction_expirationDate_expirationDate_value,derivativeTransaction_derivativeTransaction_ownershipNature_ownershipNature_directOrIndirectOwnership_directOrIndirectOwnership_value,derivativeTransaction_derivativeTransaction_postTransactionAmounts_postTransactionAmounts_sharesOwnedFollowingTransaction_sharesOwnedFollowingTransaction_value,derivativeTransaction_derivativeTransaction_securityTitle_securityTitle_value,derivativeTransaction_derivativeTransaction_transactionAmounts_transactionAmounts_transactionAcquiredDisposedCode_transactionAcquiredDisposedCode_value,derivativeTransaction_derivativeTransaction_transactionAmounts_transactionAmounts_transactionPricePerShare_transactionPricePerShare_value,derivativeTransaction_derivativeTransaction_transactionAmounts_transactionAmounts_transactionShares_transactionShares_value,derivativeTransaction_derivativeTransaction_transactionCoding_transactionCoding_equitySwapInvolved,derivativeTransaction_derivativeTransaction_transactionCoding_transactionCoding_transactionCode,derivativeTransaction_derivativeTransaction_transactionCoding_transactionCoding_transactionFormType,derivativeTransaction_derivativeTransaction_transactionDate_transactionDate_value,derivativeTransaction_derivativeTransaction_transactionTimeliness_transactionTimeliness_value,derivativeTransaction_derivativeTransaction_underlyingSecurity_underlyingSecurity_underlyingSecurityShares_underlyingSecurityShares_value,derivativeTransaction_derivativeTransaction_underlyingSecurity_underlyingSecurity_underlyingSecurityTitle_underlyingSecurityTitle_value,documentType,footnote,issuerCik,issuerName,issuerTradingSymbol,nonDerivativeTransaction_nonDerivativeTransaction_ownershipNature_ownershipNature_directOrIndirectOwnership_directOrIndirectOwnership_value,nonDerivativeTransaction_nonDerivativeTransaction_postTransactionAmounts_postTransactionAmounts_sharesOwnedFollowingTransaction_sharesOwnedFollowingTransaction_value,nonDerivativeTransaction_nonDerivativeTransaction_securityTitle_securityTitle_value,nonDerivativeTransaction_nonDerivativeTransaction_transactionAmounts_transactionAmounts_transactionAcquiredDisposedCode_transactionAcquiredDisposedCode_value,nonDerivativeTransaction_nonDerivativeTransaction_transactionAmounts_transactionAmounts_transactionPricePerShare_transactionPricePerShare_value,nonDerivativeTransaction_nonDerivativeTransaction_transactionAmounts_transactionAmounts_transactionShares_transactionShares_value,nonDerivativeTransaction_nonDerivativeTransaction_transactionCoding_transactionCoding_equitySwapInvolved,nonDerivativeTransaction_nonDerivativeTransaction_transactionCoding_transactionCoding_transactionCode,nonDerivativeTransaction_nonDerivativeTransaction_transactionCoding_transactionCoding_transactionFormType,nonDerivativeTransaction_nonDerivativeTransaction_transactionDate_transactionDate_value,nonDerivativeTransaction_nonDerivativeTransaction_transactionTimeliness_transactionTimeliness_value,notSubjectToSection16,periodOfReport,reportingOwnerAddress_reportingOwnerAddress_rptOwnerCity,reportingOwnerAddress_reportingOwnerAddress_rptOwnerState,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStateDescription,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet1,reportingOwnerAddress_reportingOwnerAddress_rptOwnerStreet2,reportingOwnerAddress_reportingOwnerAddress_rptOwnerZipCode,reportingOwnerId_reportingOwnerId_rptOwnerCik,reportingOwnerId_reportingOwnerId_rptOwnerName,reportingOwnerRelationship_reportingOwnerRelationship_isDirector,reportingOwnerRelationship_reportingOwnerRelationship_isOfficer,reportingOwnerRelationship_reportingOwnerRelationship_isOther,reportingOwnerRelationship_reportingOwnerRelationship_isTenPercentOwner,reportingOwnerRelationship_reportingOwnerRelationship_officerTitle,schemaVersion,signatureDate,signatureName
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0303,,
documentType,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periodOfReport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-26,,,,,,,,,,,,,,,,
notSubjectToSection16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000746967,DALECO RESOURCES CORP,DLOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportingOwner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST CHESTER,PA,,"17 WILMONT MEWS, 5TH FLOOR",,19382,0001408981,BLACKSTONE RICHARD,0,1,0,0,Assistant Secretary,,,
nonDerivativeTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,100000,Common Stock,A,0.14,100000,0,P,4,2011-04-26,,,,,,,,,,,,,,,,,,,
derivativeTable,0.67,2007-10-04,2013-10-04,D,200000,,Option,200000,Common Stock,0.22,,2016-04-25,D,250000,Option,A,0.22,250000,0,P,4,2011-04-26,,250000,Common Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,"This Option was issued to Mr. Blackstone on April 26, 2011.  The option vests 50% on the first anniversary and 25% on each of the second and third anniveraries of the award date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,"This Option is fully vested 50% after the first year, October 4, 2007, and 25% on each of the second and third anniversaries of the award.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerSignature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-29,Richard Blackstone
