_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_previousName,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street2,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList_statesOfSolicitationList_state,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList_statesOfSolicitationList_value,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_previousAccessionNumber,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0603,,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D/A,,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,,
primaryIssuer,,,0001443499,,BLACKSTONE CAPITAL PARTNERS VI - EXECUTIVE FUND LP,BLACKSTONE CAPITAL PARTNERS VI - EXECUTIVE FUND L.P.,Limited Partnership,,,,,,,NEW YORK,NY,BLACKSTONE MGMT ASSOCIATES VI L.L.C.,345 PARK AVENUE,10154,212-583-5000,,DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,n/a,Blackstone Management Associates VI L.L.C.,,Promoter,The General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,n/a,BMA VI L.L.C.,,Promoter,The sole member of the General Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Stephen,Schwarzman,A.,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Hamilton,James,E.,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Robert,Friedman,L.,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Kathleen,Skero,,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Marsha,Overby,,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,Louis,Pomponio,,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,10154,J.,Hill,Tomlinson,Executive Officer,Manager of the Sole Member of the General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
