_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_street2,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_descriptionOfOtherType,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isOtherType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0401,,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,,
primaryIssuer,,,0001468410,,Blackstone Real Estate Special Situations Fund II.2 L.P.,Limited Partnership,,,,,,,NEW YORK,NY,345 PARK AVENUE,,10154,212-583-5661,None,,DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,n/a,Blackstone Real Estate Special Situations Associates II L.L.C.,,Promoter,"General Partner of the Issuer (the ""GP"").",,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,n/a,Blackstone Real Estate Special Situations Advisors L.L.C.,,Promoter,Advisor of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Stephen,Schwarzman,A.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Hamilton,James,E.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Robert,Friedman,L.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Garrett,Goldberg,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Randall,Rothschild,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Kenneth,Caplan,A.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Frank,Cohen,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Jonathan,Gray,D.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Michael,Nash,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,William,Stein,J.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Gary,Sumers,M.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Laurence,Tosi,A.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Kenneth,Whitney,C.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Kathleen,Skero,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Louis,Pomponio,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Dennis,McDonagh,J.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Anthony,Beovich,W.,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,345 Park Avenue,,10154,Marsha,Overby,,Executive Officer,Of the GP of the Issuer,,,,,,,,,,,,,,,,,,,,,
offeringData,,false,,true,,,06,Pooled Investment Fund,Private Equity Fund,false,false,7,,,,,,,,Decline to Disclose,,5000000,,70600000,Indefinite,Indefinite,,,,,,,,,,,,0,0,,,false,Blackstone Real Estate Special Situations Fund II.2 L.P.,Randall Rothschild,2009-07-15,/s/ Randall Rothschild,Authorized Person,,,2009-06-30,false,Limited Partnership Interests,true,,0,,
