_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,entityTypeOtherDesc,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_street2,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_foreignSolicitation,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountryDescription,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList_statesOfSolicitationList_value,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0707,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,
primaryIssuer,,,0001608983,,None,Blackstone Capital Holdings Fund (Offshore) L.P.,Other,Cayman Islands exempted limited partnership,,,,,,,New York,NY,NEW YORK,Merrill Lynch Alternative Investments,"4 WFC, 250 Vesey St., 11th Floor",10080,212-449-3580,None,,CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Cayman,E9,CAYMAN ISLANDS,c/o Maples Corporate Services Limited,"PO Box 309, Ugland House South Church St",KY1-1104,n/a,ML Private Equity Offshore Ltd.,,Promoter,General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,Merrill Lynch Alternative Investments,"4 WFC, 250 Vesey St., 11th Floor",10080,Nancy,Fahmy,,Director,"Director of ML Private Equity Offshore Ltd., the General Partner of the Issuer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,Merrill Lynch Alternative Investments,"4 WFC, 250 Vesey St., 11th Floor",10080,Colleen,Rusch,R.,Director,"Director of ML Private Equity Offshore Ltd., the General Partner of the Issuer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,Merrill Lynch Alternative Investments,"4 WFC, 250 Vesey St., 11th Floor",10080,Keith,Glenfield,,Director,"Director of ML Private Equity Offshore Ltd., the General Partner of the Issuer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,Merrill Lynch Alternative Investments,"4 WFC, 250 Vesey St., 11th Floor",10080,Jeff,McGoey,E.,Director,"Director of ML Private Equity Offshore Ltd., the General Partner of the Issuer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offeringData,,false,,false,,,,,3C.7,Pooled Investment Fund,Private Equity Fund,false,false,195,,,,,,,,,Decline to Disclose,,250000,,102352000,Indefinite,Indefinite,,,,,,,,,,,,The entity listed in Item 12 is not paid by the Issuer. It receives commissions or similar sales compensation equal to a percentage of the commitment made by each investor directly from such investor.,0,0,None,None,true,New York,NY,NEW YORK,One Bryant Park,10036,7691,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",All States,,false,Blackstone Capital Holdings Fund (Offshore) L.P.,Nancy Fahmy,2014-06-03,Nancy Fahmy,Director of the General Partner,,,2014-05-19,false,true,The General Partner (or its affiliate) is entitled to receive a semi-annual administration fee in an amount equal to a specified percentage of capital account of the Issuer in the underlying fund in which it invests.,0,,
