_section,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,entityTypeOtherDesc,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_aggregateNetAssetValueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_street2,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_yetToOccur,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_descriptionOfOtherType,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isEquityType,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isOtherType,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0707,,,,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,,,,
primaryIssuer,,0001615019,,None,BLACKSTONE / GSO GLOBAL DYNAMIC CREDIT GBP FEEDER FUND (IRELAND),Other,Sub-Fund of an Irish Unit Trust,,,,,,,NEW YORK,NY,NEW YORK,C/O GSO / BLACKSTONE DEBT FUNDS MNGT LLC,"345 PARK AVE., 31ST FLOOR",10154,212-503-2100,None,,IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,-,Blackstone / GSO Debt Funds Management Europe II Limited,-,Executive Officer,Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Daniel,Smith,,Director,Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Katrin,Goldbeck,,Director,Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Alan,Kerr,,Director,Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Desmond,Quigley,,Director,Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Mark,Moffat,,Director,Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin,L2,IRELAND,"O'Connell Bridge House, 9th & 10th Floor",D'Olier Street,2,Alex,Leonard,,Executive Officer,Managing Director of the Manager of the Issuer,,,,,,,,,,,,,,,,,,,,,,,
