_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_street2,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_foreignSolicitation,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountryDescription,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street2,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList_statesOfSolicitationList_value,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_isEstimate,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0707,,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,,
primaryIssuer,,,0001615084,,None,Blackstone Strategic Partners Secondaries VI Trust,Business Trust,,,,,,,NEW YORK,NY,NEW YORK,250 VESEY STREET,11TH FLOOR,10080,2124493381,None,,DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Spencer,Boggess,N.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,James,Bowden,D.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Dominick,Carlino,,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,James,Costabile,L.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Nancy,Fahmy,,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Keith,Glenfield,,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Jeff,McGoey,,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Ninon,Marapachi,,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Gregory,Parets,E.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Colleen,Rusch,R.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,Steven,Suss,L.,Director,Manager of the managing trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
