_section,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_previousName,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_street2,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_street2,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_foreignSolicitation,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountryDescription,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList_statesOfSolicitationList_value,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0707,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,
primaryIssuer,,0001692032,,Blackstone Tac Opps Access Fund L.P.,Blackstone Tac Opps Access L.P.,Limited Partnership,,,,,,,WILMINGTON,DE,DELAWARE,"4001 KENNETT PIKE, SUITE 302",C/O MAPLES FIDUCIARY SERVICES (DELAWARE),19807,302-338-9130,None,,DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilmington,DE,DELAWARE,4001 Kennett Pike,Suite 302,19807,n/a,Asterion Fund Services L.L.C,,Director,"General Partner of the Issuer (the ""General Partner"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilmington,DE,DELAWARE,4001 Kennett Pike,Suite 302,19807,n/a,Maples Fiduciary Services (Delaware) Inc.,,Director,Sole Managing Member of the General Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,250 Vesey Street,11th Floor,10080,n/a,"Merrill Lynch Alternative Investments LLC (""MLAI"")",,Executive Officer,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Nancy,Fahmy,,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Barbara,Koscis,E.,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Kenneth,Martin,,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Leslie,Ross,,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Gregory,Parets,,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,MLAI,"250 Vesey Street, 11th Floor",10080,Jeff,McGoey,E.,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
