_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_isEstimate,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_foreignSolicitation,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountryDescription,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street2,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_yetToOccur,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0708,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,
primaryIssuer,,,0001954211,,None,Blackstone European Senior Debt Fund III Feeder SCSp,Limited Partnership,,,,,,,GRAND DUCHY OF LUXEMBOURG,N4,LUXEMBOURG,"11-13, BOULEVARD DE LA FOIRE",L-1528,212-503-2457,None,,LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Duchy of Luxembourg,N4,LUXEMBOURG,"11-13, boulevard de la Foire",L-1528,N/A,Blackstone European Senior Debt Associates III GP S.a r.l.,Promoter,General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Floor",10154,N/A,Blackstone Europe Fund Management S.a r.l.,Promoter,The investment fund manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Street",10154,Michael,Zawadzki,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Street",10154,Dwight,Scott,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Street",10154,Marisa,Beeney,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Street",10154,Paulo,Eapen,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,"345 Park Avenue, 31st Street",10154,Panayiota,Bougiamas,Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offeringData,,false,,true,,,,3C.7,Pooled Investment Fund,Private Equity Fund,false,false,0,,,,,,,,Decline to Disclose,,0,,0,Indefinite,Indefinite,,,,,,,,,,Sales commissions include sales commissions relating to a parallel fund and the Issuer's and such parallel fund's feeder funds.,0,231537,true,None,None,true,Seoul,M5,"KOREA, REPUBLIC OF","50, Yeouinaru-ro",Yeongdeungpo-gu,07328,None,"KB Securities Co., Ltd.",,,false,Blackstone European Senior Debt Fund III Feeder SCSp,Tony Whiteman,2022-12-14,/s/ Tony Whiteman,Manager,,,true,false,true,,0,,
